Node	 Parent	 Time	 SigClade
1214	189	6	0
1215	38	4	0
1216	742	5	0
1217	448	4	0
1218	124	6	0
1219	171	5	0
1220	153	7	0
1221	170	3	0
1222	250	4	0
1223	26	6	0
1224	410	4	0
1225	1	3	0
1226	946	6	0
1227	779	6	0
1228	700	7	0
1229	210	5	0
1230	169	6	0
1231	113	3	0
1232	61	5	0
1233	377	7	0
1234	806	6	0
1235	577	5	0
1236	15	6	0
1237	362	8	0
1238	458	8	0
1239	15	5	0
1240	402	7	0
1241	118	6	0
1242	800	7	0
1243	66	6	0
1244	176	5	0
1245	136	6	0
1246	223	4	0
1247	25	6	0
1248	30	3	0
1249	307	5	0
1250	173	5	0
1251	169	6	0
1252	47	7	0
1253	380	7	0
1254	80	6	0
1255	405	4	0
1256	28	6	0
1257	225	6	0
1258	694	5	0
1259	241	6	0
1260	371	5	0
1261	104	5	0
1262	101	7	0
1263	800	5	0
1264	156	5	0
1265	389	6	0
1266	1143	7	0
1267	353	6	0
1268	431	8	0
1269	384	6	0
1270	434	8	0
1271	728	4	0
1272	41	5	0
1273	434	7	0
1274	15	6	0
1275	462	7	0
1276	376	6	0
1277	196	5	0
1278	168	5	0
1279	563	7	0
1280	472	5	0
1281	507	6	0
1282	9	4	0
1283	363	5	0
1284	492	6	0
1285	418	4	0
1286	102	7	0
1287	312	6	0
1288	618	4	0
1289	519	3	0
1290	353	6	0
1291	195	5	0
1292	423	7	0
1293	2	3	0
1294	305	5	0
1295	388	7	0
1296	819	7	0
1297	199	5	0
1298	428	3	0
1299	41	4	0
1300	196	4	0
1301	213	4	0
1302	711	7	0
1303	235	4	0
1304	196	5	0
1305	246	7	0
1306	59	7	0
1307	995	9	0
1308	366	5	0
1309	160	5	0
1310	509	8	0
1311	706	6	0
1312	139	5	0
1313	468	6	0
1314	34	7	0
1315	304	5	0
1316	216	4	0
1317	76	3	0
1318	184	3	0
1319	365	5	0
1320	124	5	0
1321	224	6	0
1322	119	5	0
1323	391	6	0
1324	207	4	0
1325	26	7	0
1326	144	2	0
1327	971	6	0
1328	207	4	0
1329	624	6	0
1330	235	3	0
1331	212	5	0
1332	30	4	0
1333	228	7	0
1334	134	7	0
1335	125	4	0
1336	25	3	0
1337	106	3	0
1338	469	6	0
1339	141	7	0
1340	834	5	0
1341	208	7	0
1342	114	5	0
1343	87	7	0
1344	208	6	0
1345	492	7	0
1346	533	7	0
1347	106	4	0
1348	37	5	0
1349	208	6	0
1350	225	6	0
1351	211	7	0
1352	305	5	0
1353	176	5	0
1354	245	5	0
1355	409	7	0
1356	640	5	0
1357	673	4	0
1358	184	5	0
1359	742	6	0
1360	29	6	0
1361	260	5	0
1362	144	4	0
1363	223	4	0
1364	287	6	0
1365	243	4	0
1366	821	6	0
1367	766	7	0
1368	747	3	0
1369	889	5	0
1370	273	4	0
1371	382	4	0
1372	27	4	0
1373	205	5	0
1374	42	7	0
1375	205	5	0
1376	269	3	0
1377	30	5	0
1378	246	6	0
1379	618	4	0
1380	262	5	0
1381	205	6	0
1382	38	5	0
1383	469	4	0
1384	76	4	0
1385	861	6	0
1386	529	4	0
1387	815	5	0
1388	91	6	0
1389	321	4	0
1390	438	6	0
1391	397	6	0
1392	661	5	0
1393	241	6	0
1394	472	4	0
1395	623	5	0
1396	934	6	0
1397	86	6	0
1398	557	5	0
1399	436	7	0
1400	703	8	0
1401	128	6	0
1402	800	6	0
1403	272	5	0
1404	353	7	0
1405	453	9	0
1406	195	5	0
1407	1072	6	0
1408	28	4	0
1409	37	5	0
1410	470	6	0
1411	0	2	0
1412	1089	8	0
1413	755	5	0
1414	195	5	0
1415	541	7	0
1416	899	7	0
1417	15	4	0
1418	111	5	0
1419	384	7	0
1420	71	5	0
1421	98	5	0
1422	158	6	0
1423	17	3	0
1424	1196	8	0
1425	498	5	0
1426	133	5	0
1427	799	5	0
1428	6	3	0
1429	450	7	0
1430	296	5	0
1431	814	3	0
1432	65	6	0
1433	899	8	0
1434	314	6	0
1435	779	6	0
1436	260	5	0
1437	4	3	0
1438	77	5	0
1439	530	4	0
1440	206	5	0
1441	1207	4	0
1442	724	3	0
1443	946	6	0
1444	189	6	0
1445	544	4	0
1446	861	6	0
1447	920	7	0
1448	623	5	0
1449	941	7	0
1450	196	5	0
1451	155	5	0
1452	862	8	0
1453	930	5	0
1454	31	7	0
1455	624	6	0
1456	633	6	0
1457	223	4	0
1458	64	5	0
1459	887	7	0
1460	388	7	0
1461	622	3	0
1462	18	4	0
1463	205	6	0
1464	31	6	0
1465	155	6	0
1466	44	6	0
1467	632	7	0
1468	251	6	0
1469	135	3	0
1470	809	6	0
1471	695	7	0
1472	212	5	0
1473	1159	8	0
1474	588	7	0
1475	238	5	0
1476	28	5	0
1477	152	3	0
1478	47	7	0
1479	110	4	0
1480	23	3	0
1481	303	5	0
1482	34	6	0
1483	250	5	0
1484	410	6	0
1485	758	5	0
1486	225	6	0
1487	345	4	0
1488	87	5	0
1489	312	5	0
1490	66	7	0
1491	2	3	0
1492	674	6	0
1493	841	6	0
1494	816	7	0
1495	40	4	0
1496	266	5	0
1497	339	7	0
1498	355	4	0
1499	73	6	0
1500	65	7	0
1501	289	7	0
1502	134	8	0
1503	75	6	0
1504	64	5	0
1505	189	6	0
1506	864	5	0
1507	19	5	0
1508	557	5	0
1509	1226	8	0
1510	192	7	0
1511	574	7	0
1512	632	7	0
1513	116	7	0
1514	632	7	0
1515	2	2	0
1516	160	6	0
1517	939	5	0
1518	685	7	0
1519	226	5	0
1520	351	5	0
1521	3	3	0
1522	125	3	0
1523	765	4	0
1524	39	2	0
1525	673	5	0
1526	140	4	0
1527	326	7	0
1528	1006	7	0
1529	44	7	0
1530	73	5	0
1531	481	5	0
1532	149	7	0
1533	1255	5	0
1534	615	5	0
1535	106	5	0
1536	116	8	0
1537	171	5	0
1538	215	5	0
1539	251	5	0
1540	591	5	0
1541	659	7	0
1542	597	5	0
1543	287	5	0
1544	529	4	0
1545	586	6	0
1546	117	5	0
1547	65	6	0
1548	299	5	0
1549	458	6	0
1550	12	5	0
1551	47	7	0
1552	427	2	0
1553	58	6	0
1554	16	4	0
1555	448	4	0
1556	806	5	0
1557	102	6	0
1558	354	6	0
1559	562	5	0
1560	485	6	0
1561	59	6	0
1562	836	7	0
1563	164	6	0
1564	128	6	0
1565	1367	7	0
1566	180	6	0
1567	42	4	0
1568	647	6	0
1569	118	5	0
1570	260	5	0
1571	615	6	0
1572	550	6	0
1573	815	5	0
1574	66	6	0
1575	321	4	0
1576	0	2	0
