Node	 Parent	 Time	 SigClade
1392	241	6	0
1393	427	4	0
1394	385	4	0
1395	58	5	0
1396	127	4	0
1397	118	6	0
1398	31	5	0
1399	329	4	0
1400	40	3	0
1401	237	7	0
1402	573	5	0
1403	515	8	0
1404	83	6	0
1405	427	6	0
1406	166	6	0
1407	330	7	0
1408	472	5	0
1409	241	6	0
1410	116	3	0
1411	24	4	0
1412	336	7	0
1413	8	5	0
1414	329	2	0
1415	19	5	0
1416	25	5	0
1417	103	6	0
1418	168	5	0
1419	165	6	0
1420	1175	6	0
1421	329	3	0
1422	328	4	0
1423	61	5	0
1424	159	5	0
1425	91	6	0
1426	243	6	0
1427	40	3	0
1428	60	5	0
1429	1008	6	0
1430	563	7	0
1431	467	6	0
1432	270	6	0
1433	88	3	0
1434	623	5	0
1435	695	7	0
1436	455	3	0
1437	817	5	0
1438	291	4	0
1439	171	4	0
1440	1121	6	0
1441	381	4	0
1442	655	6	0
1443	29	4	0
1444	533	7	0
1445	174	7	0
1446	452	6	0
1447	193	5	0
1448	246	7	0
1449	86	5	0
1450	30	5	0
1451	46	4	0
1452	28	3	0
1453	269	6	0
1454	151	5	0
1455	104	5	0
1456	0	2	0
1457	275	5	0
1458	50	5	0
1459	177	5	0
1460	11	5	0
1461	68	5	0
1462	617	6	0
1463	37	5	0
1464	727	5	0
1465	1133	4	0
1466	802	4	0
1467	1225	6	0
1468	63	6	0
1469	27	5	0
1470	769	7	0
1471	138	6	0
1472	544	5	0
1473	693	6	0
1474	620	6	0
1475	163	5	0
1476	806	7	0
1477	180	7	0
1478	1225	5	0
1479	442	6	0
1480	799	5	0
1481	1046	7	0
1482	515	9	0
1483	48	6	0
1484	60	4	0
1485	625	8	0
1486	822	5	0
1487	480	7	0
1488	26	4	0
1489	265	6	0
1490	675	6	0
1491	286	6	0
1492	762	8	0
1493	140	7	0
1494	5	4	0
1495	138	6	0
1496	388	6	0
1497	1115	7	0
1498	782	6	0
1499	943	5	0
1500	121	4	0
1501	1271	5	0
1502	720	6	0
1503	628	4	0
1504	839	6	0
1505	882	6	0
1506	248	5	0
1507	73	5	0
1508	236	5	0
1509	43	4	0
1510	159	4	0
1511	294	5	0
1512	150	5	0
1513	512	7	0
1514	577	5	0
1515	1025	5	0
1516	872	5	0
1517	303	4	0
1518	529	5	0
1519	29	4	0
1520	656	6	0
1521	151	4	0
1522	270	5	0
1523	19	2	0
1524	567	5	0
1525	331	5	0
1526	761	7	0
1527	55	4	0
1528	22	5	0
1529	57	5	0
1530	1267	9	0
1531	987	5	0
1532	818	6	0
1533	148	3	0
1534	705	7	0
1535	72	4	0
1536	1322	5	0
1537	0	2	0
1538	985	5	0
1539	44	3	0
1540	588	7	0
1541	684	5	0
1542	24	2	0
1543	205	5	0
1544	433	6	0
1545	171	7	0
1546	588	6	0
1547	1020	6	0
1548	441	3	0
1549	127	4	0
1550	610	7	0
1551	185	7	0
1552	748	5	0
1553	239	7	0
1554	938	7	0
1555	634	5	0
1556	568	7	0
1557	6	3	0
1558	234	6	0
1559	322	5	0
1560	642	4	0
1561	94	7	0
1562	610	6	0
1563	1286	5	0
1564	564	5	0
1565	269	6	0
1566	14	4	0
1567	1327	6	0
1568	381	5	0
1569	223	4	0
1570	189	6	0
1571	402	5	0
1572	299	4	0
1573	991	5	0
1574	671	2	0
1575	182	6	0
1576	415	8	0
1577	356	7	0
1578	479	4	0
1579	303	4	0
1580	241	8	0
1581	397	6	0
1582	227	6	0
1583	115	4	0
1584	40	4	0
1585	456	4	0
1586	700	4	0
1587	301	4	0
1588	261	4	0
1589	201	5	0
1590	744	7	0
1591	94	7	0
1592	567	3	0
1593	261	5	0
1594	11	4	0
1595	11	5	0
1596	269	5	0
1597	274	3	0
1598	911	5	0
1599	63	5	0
1600	481	3	0
1601	52	4	0
1602	40	3	0
1603	414	5	0
1604	245	4	0
1605	301	3	0
1606	244	6	0
1607	354	6	0
1608	1039	6	0
1609	685	5	0
1610	772	7	0
1611	822	5	0
1612	171	5	0
1613	672	6	0
1614	343	7	0
1615	32	6	0
1616	195	4	0
1617	246	7	0
1618	180	4	0
1619	205	5	0
1620	799	5	0
1621	1344	4	0
1622	26	4	0
1623	577	6	0
1624	563	7	0
1625	496	6	0
1626	510	6	0
1627	209	4	0
1628	975	7	0
1629	971	5	0
1630	381	5	0
1631	732	6	0
1632	454	3	0
1633	218	4	0
1634	857	5	0
1635	1083	5	0
1636	351	7	0
1637	237	6	0
1638	63	6	0
1639	26	4	0
1640	1464	5	0
1641	99	3	0
1642	916	5	0
1643	830	4	0
1644	189	5	0
1645	557	5	0
1646	290	5	0
1647	822	6	0
1648	1064	7	0
1649	936	6	0
1650	980	5	0
1651	1247	7	0
1652	396	5	0
1653	1036	7	0
1654	269	6	0
